text,hs_code,hs_chapter,hs_desc,language
"Other filtering or purifying machinery, quantity: various, for wholesale",842139,Machinery,Other filtering or purifying machinery,en
"Trade declaration: extracts and concentrates of coffee, new",210111,Food Preparations,Extracts and concentrates of coffee,en
"Other electronic integrated circuits, quantity: various, for wholesale, for export under standard commercial terms, for 20ft container loading.",854239,Electronics,Other electronic integrated circuits,en
"Shipment of wine in containers ≤2l, FOB terms, for export under standard commercial terms, with standard commercial invoice and packing list.",220421,Beverages,Wine in containers ≤2L,en
"Refined copper cathodes for industrial/commercial use, for customs clearance and import declaration, shipping term CIF.",740311,Metals,Refined copper cathodes,en
"Export grade motorcycles, 50-250cc, certified",871120,Vehicles,"Motorcycles, 50-250cc",en
"Export grade cocoa beans, whole or broken, certified, for regional retail supply chain, palletized for container shipment.",180100,Cocoa,"Cocoa beans, whole or broken",en
"Spark-ignition engines >1000cc, quantity: various, for wholesale, for international wholesale distribution, for 20ft container loading.",840734,Machinery,Spark-ignition engines >1000cc,en
"全白米 长粒型 散装出口, for industrial procurement contract, for 20ft container loading.",100630,Cereals,Semi-milled or wholly milled rice,zh
"Other beauty or make-up preparations, quantity: various, for wholesale, for international wholesale distribution, shipping term CIF.",330499,Cosmetics,Other beauty or make-up preparations,en
"Export grade tobacco, partly or wholly stemmed, certified",240120,Tobacco,"Tobacco, partly or wholly stemmed",en
白砂糖 精炼 ICUMSA 45,170199,Sugar,Other cane or beet sugar,zh
"Trade declaration: ethylene glycol, new, for cross-border shipment, palletized for container shipment.",290531,Chemicals,Ethylene glycol,en
"Primary aluminium wire bar, unalloyed",760110,Metals,"Unwrought aluminium, not alloyed",en
"Other frozen fish, meeting international standards, for export under standard commercial terms, for mixed-lot cargo.",030389,Fish,Other frozen fish,en
ยางรถยนต์นั่งใหม่ แบบเรเดียล,401110,Rubber,New pneumatic tyres for cars,th
"Textured polyester yarn - standard quality, bulk shipment",540233,Textiles,Textured polyester yarn,en
"Frozen premium boneless beef quarters, for cross-border shipment, with standard commercial invoice and packing list.",020230,Meat,Frozen boneless bovine meat,en
"HRC steel sheet in coils, Q235B grade, for export under standard commercial terms, shipping term FOB.",720839,Steel,"Hot-rolled iron or steel, coil >600mm",en
"Imported household refrigerators, compression, customs declaration, for bulk procurement program, shipping term CIF.",841821,Machinery,"Household refrigerators, compression",en
"Export grade silicon, containing ≥99.99% si, certified, for cross-border shipment, for mixed-lot cargo.",280461,Chemicals,"Silicon, containing ≥99.99% Si",en
"Natural gas, liquefied - standard quality, bulk shipment, for cross-border shipment, shipping term CIF.",271111,Mineral Fuels,"Natural gas, liquefied",en
"Wine in containers ≤2L - standard quality, bulk shipment",220421,Beverages,Wine in containers ≤2L,en
"Export grade insecticides, certified, for international wholesale distribution, with standard commercial invoice and packing list.",380891,Chemicals,Insecticides,en
"Export grade unbleached plain weave cotton, certified, for cross-border shipment, shipping term CIF.",520812,Textiles,Unbleached plain weave cotton,en
"Shipment of wheat and meslin, other, FOB terms, for export under standard commercial terms, palletized for container shipment.",100199,Cereals,"Wheat and meslin, other",en
"Export grade wine in containers ≤2l, certified, for export under standard commercial terms, for mixed-lot cargo.",220421,Beverages,Wine in containers ≤2L,en
"Motorcycles, 50-250cc, packed for international trade, for export under standard commercial terms, shipping term CIF.",871120,Vehicles,"Motorcycles, 50-250cc",en
"Export grade storage units for computers, certified",847170,Electronics,Storage units for computers,en
"Sweet biscuits for industrial/commercial use, for customs clearance and import declaration, for mixed-lot cargo.",190531,Food Preparations,Sweet biscuits,en
"Portland cement, other - standard quality, bulk shipment, for bonded warehouse delivery, for mixed-lot cargo.",252329,Minerals,"Portland cement, other",en
"Men's cargo trousers, cotton twill, for regional retail supply chain, for scheduled maritime transport.",620342,Garments,Men's trousers of cotton,en
"Imported polyethylene, specific gravity <0.94, customs declaration, for regional retail supply chain, for scheduled maritime transport.",390110,Plastics,"Polyethylene, specific gravity <0.94",en
"Other games and articles for games, packed for international trade, for regional retail supply chain, palletized for container shipment.",950490,Toys,Other games and articles for games,en
"Polyethylene, specific gravity <0.94, packed for international trade, for export under standard commercial terms, with standard commercial invoice and packing list.",390110,Plastics,"Polyethylene, specific gravity <0.94",en
"Other electronic integrated circuits, meeting international standards",854239,Electronics,Other electronic integrated circuits,en
"Roma tomatoes, fresh, for canning factory",070200,Vegetables,"Tomatoes, fresh or chilled",en
"Mineral or chemical fertilizers with NPK - standard quality, bulk shipment",310520,Chemicals,Mineral or chemical fertilizers with NPK,en
"Shipment of whiskies, FOB terms, for regional retail supply chain, for scheduled maritime transport.",220830,Beverages,Whiskies,en
"Upholstered seats with wooden frames, packed for international trade, for customs clearance and import declaration, packed in cartons.",940161,Furniture,Upholstered seats with wooden frames,en
"Other digital processing units, quantity: various, for wholesale, for cross-border shipment, shipping term CIF.",847141,Electronics,Other digital processing units,en
"Upholstered seats with wooden frames, meeting international standards",940161,Furniture,Upholstered seats with wooden frames,en
"Vaccines for human medicine, quantity: various, for wholesale, for bulk procurement program, for 20ft container loading.",300220,Pharmaceuticals,Vaccines for human medicine,en
"女式棉质针织T恤 印花款, for industrial procurement contract, for scheduled maritime transport.",610910,Garments,"T-shirts and singlets, cotton, knitted",zh
"Trade declaration: new pneumatic tyres for buses/lorries, new",401120,Rubber,New pneumatic tyres for buses/lorries,en
"Other cheese, meeting international standards, for cross-border shipment, for 20ft container loading.",040690,Dairy,Other cheese,en
"Unwrought aluminium slabs, 99.5% Al, for industrial procurement contract, with standard commercial invoice and packing list.",760110,Metals,"Unwrought aluminium, not alloyed",en
"Upholstered seats with wooden frames, quantity: various, for wholesale",940161,Furniture,Upholstered seats with wooden frames,en
"Run-flat tires for cars, new, 225/50R17, for cross-border shipment, with standard commercial invoice and packing list.",401110,Rubber,New pneumatic tyres for cars,en
"Children's bedroom furniture set, wood, for bulk procurement program, packed in cartons.",940350,Furniture,Wooden bedroom furniture,en
"Gạo trắng xay xát hoàn toàn, hạt dài",100630,Cereals,Semi-milled or wholly milled rice,vi
น้ำตาลทรายดิบ สีน้ำตาล จากอ้อย,170199,Sugar,Other cane or beet sugar,th
"Trade declaration: upholstered seats with wooden frames, new, for cross-border shipment, for mixed-lot cargo.",940161,Furniture,Upholstered seats with wooden frames,en
Shopping bags of ethylene polymers,392321,Plastics,Sacks and bags of ethylene polymers,en
"Footwear with uppers of leather for industrial/commercial use, for international wholesale distribution, shipping term CIF.",640510,Footwear,Footwear with uppers of leather,en
"New pneumatic tyres for buses/lorries, packed for international trade, for regional retail supply chain, for scheduled maritime transport.",401120,Rubber,New pneumatic tyres for buses/lorries,en
"Shipment of silicon, containing ≥99.99% si, FOB terms, for cross-border shipment, with standard commercial invoice and packing list.",280461,Chemicals,"Silicon, containing ≥99.99% Si",en
"Premium jasmine rice, 100% grade A, for international wholesale distribution, for mixed-lot cargo.",100630,Cereals,Semi-milled or wholly milled rice,en
"Tôm đông lạnh, bóc vỏ, bỏ đầu, for regional retail supply chain, for scheduled maritime transport.",030617,Fish,Frozen shrimps and prawns,vi
"Export grade motor cars, >3000cc, certified",870324,Vehicles,"Motor cars, >3000cc",en
"Women's trousers of cotton, commercial grade, for import",620462,Garments,Women's trousers of cotton,en
"Fresh vine-ripened tomatoes, 5kg boxes",070200,Vegetables,"Tomatoes, fresh or chilled",en
"Portland cement, other, meeting international standards, for customs clearance and import declaration, shipping term FOB.",252329,Minerals,"Portland cement, other",en
"Milk with fat content 1-6% for industrial/commercial use, for industrial procurement contract, shipping term FOB.",040120,Dairy,Milk with fat content 1-6%,en
"Export grade fresh oranges, certified",080510,Fruits,Fresh oranges,en
"Cold-rolled iron or steel coil, packed for international trade, for regional retail supply chain, shipping term FOB.",720917,Steel,Cold-rolled iron or steel coil,en
"Other cheese, quantity: various, for wholesale",040690,Dairy,Other cheese,en
"Running shoes, rubber bottom, mesh",640399,Footwear,Other footwear with rubber soles,en
"Shipment of other wooden furniture, FOB terms, for customs clearance and import declaration, with standard commercial invoice and packing list.",940360,Furniture,Other wooden furniture,en
"Shipment of other structures of iron or steel, FOB terms",730890,Steel,Other structures of iron or steel,en
"Milk with fat content 1-6%, commercial grade, for import",040120,Dairy,Milk with fat content 1-6%,en
"Green tea in packages ≤3kg, commercial grade, for import",090210,Coffee/Tea,Green tea in packages ≤3kg,en
"Xe ô tô điện chạy pin, không phát thải",870380,Vehicles,"Other motor vehicles, electric",vi
"Shipment of other parts of cranes, FOB terms, for cross-border shipment, shipping term FOB.",843149,Machinery,Other parts of cranes,en
"Fresh boneless cow meat for wholesale distribution, for export under standard commercial terms, packed in cartons.",020130,Meat,Fresh or chilled boneless bovine meat,en
"Chilled beef tenderloin, boneless, vacuum packed",020130,Meat,Fresh or chilled boneless bovine meat,en
"Mineral or chemical fertilizers with NPK - standard quality, bulk shipment, for international wholesale distribution, for 20ft container loading.",310520,Chemicals,Mineral or chemical fertilizers with NPK,en
"冷冻虾仁 去头去壳, for bulk procurement program, for mixed-lot cargo.",030617,Fish,Frozen shrimps and prawns,zh
"Steel coils, hot rolled, 1250mm width",720839,Steel,"Hot-rolled iron or steel, coil >600mm",en
"Milk powder, fat content ≤1.5% - standard quality, bulk shipment, for export under standard commercial terms, palletized for container shipment.",040210,Dairy,"Milk powder, fat content ≤1.5%",en
"กุ้งสดแช่แข็ง สำหรับร้านอาหาร, for bulk procurement program, for 20ft container loading.",030617,Fish,Frozen shrimps and prawns,th
"Men's slim fit cotton jeans, for bonded warehouse delivery, with standard commercial invoice and packing list.",620342,Garments,Men's trousers of cotton,en
可充电锂聚合物电池 手机用,850760,Electronics,Lithium-ion accumulators,zh
"Export grade electronic integrated circuits, memories, certified, for bulk procurement program, for mixed-lot cargo.",854232,Electronics,"Electronic integrated circuits, memories",en
"Whiskies, meeting international standards",220830,Beverages,Whiskies,en
"Beans, fresh or chilled for industrial/commercial use, for cross-border shipment, for scheduled maritime transport.",070820,Vegetables,"Beans, fresh or chilled",en
"Other medical instruments, meeting international standards",901890,Medical,Other medical instruments,en
"Imported electrical energy, customs declaration, for regional retail supply chain, shipping term CIF.",271600,Mineral Fuels,Electrical energy,en
"Frozen shrimp, headless, shell-on, for bonded warehouse delivery, palletized for container shipment.",030617,Fish,Frozen shrimps and prawns,en
"Lumber, coniferous, sawn for industrial/commercial use, for industrial procurement contract, for scheduled maritime transport.",440710,Wood,"Lumber, coniferous, sawn",en
"Imported fresh or chilled onions and shallots, customs declaration, for bonded warehouse delivery, shipping term FOB.",070310,Vegetables,Fresh or chilled onions and shallots,en
"Export grade jerseys, pullovers of man-made fibres, certified, for customs clearance and import declaration, for mixed-lot cargo.",611030,Garments,"Jerseys, pullovers of man-made fibres",en
"Plates and sheets of ethylene polymers, meeting international standards",392010,Plastics,Plates and sheets of ethylene polymers,en
Premium quality fresh deboned cattle meat,020130,Meat,Fresh or chilled boneless bovine meat,en
"Static converters, quantity: various, for wholesale, for international wholesale distribution, for mixed-lot cargo.",850440,Electronics,Static converters,en
"Women's trousers of cotton, packed for international trade, for bulk procurement program, for mixed-lot cargo.",620462,Garments,Women's trousers of cotton,en
"Frozen black tiger prawns, peeled and deveined, for regional retail supply chain, for mixed-lot cargo.",030617,Fish,Frozen shrimps and prawns,en
"Craft beer, IPA style, 330ml bottles",220300,Beverages,Beer made from malt,en
"Refurbished iPhone 14, 128GB, for international wholesale distribution, for scheduled maritime transport.",851712,Electronics,Smartphones,en
"Golden Delicious fresh apples, class I, for international wholesale distribution, with standard commercial invoice and packing list.",080810,Fruits,Fresh apples,en
"รถยนต์ไฟฟ้า BYD แบตเตอรี่ลิเธียม, for bonded warehouse delivery, for 20ft container loading.",870380,Vehicles,"Other motor vehicles, electric",th
"Export grade diesel motor cars, 1500-2500cc, certified, for export under standard commercial terms, for mixed-lot cargo.",870332,Vehicles,"Diesel motor cars, 1500-2500cc",en
"Shipment of toilet and kitchen linen of cotton, FOB terms, for bulk procurement program, for 20ft container loading.",630260,Textiles,Toilet and kitchen linen of cotton,en
"Frozen boneless stewing beef, 20kg cartons, for bonded warehouse delivery, for scheduled maritime transport.",020230,Meat,Frozen boneless bovine meat,en
"Microprocessor chips, 7nm, for computers, for bonded warehouse delivery, with standard commercial invoice and packing list.",854231,Electronics,"Electronic integrated circuits, processors",en
"Parts of turbo-jets, quantity: various, for wholesale, for customs clearance and import declaration, for 20ft container loading.",841191,Machinery,Parts of turbo-jets,en
"Shipment of extracts and concentrates of coffee, FOB terms",210111,Food Preparations,Extracts and concentrates of coffee,en
"Fresh oranges, meeting international standards, for cross-border shipment, for scheduled maritime transport.",080510,Fruits,Fresh oranges,en
"Export grade other cargo vessels, certified",890190,Ships,Other cargo vessels,en
"Other filtering or purifying machinery, commercial grade, for import, for cross-border shipment, packed in cartons.",842139,Machinery,Other filtering or purifying machinery,en
"Trade declaration: bulbs, tubers for planting, new, for cross-border shipment, for 20ft container loading.",060110,Plants,"Bulbs, tubers for planting",en
"Natural gas, liquefied - standard quality, bulk shipment, for cross-border shipment, for scheduled maritime transport.",271111,Mineral Fuels,"Natural gas, liquefied",en
"Bulbs, tubers for planting, commercial grade, for import, for export under standard commercial terms, with standard commercial invoice and packing list.",060110,Plants,"Bulbs, tubers for planting",en
"Portland cement, other for industrial/commercial use",252329,Minerals,"Portland cement, other",en
"Trade declaration: television cameras and digital cameras, new, for bonded warehouse delivery, for scheduled maritime transport.",852580,Electronics,Television cameras and digital cameras,en
"Fresh or chilled onions and shallots, meeting international standards, for cross-border shipment, shipping term CIF.",070310,Vegetables,Fresh or chilled onions and shallots,en
"Fresh Braeburn apples, orchard packed, for regional retail supply chain, for scheduled maritime transport.",080810,Fruits,Fresh apples,en
"Shipment of silicon, containing ≥99.99% si, FOB terms, for export under standard commercial terms, shipping term CIF.",280461,Chemicals,"Silicon, containing ≥99.99% Si",en
"Export grade cartons, boxes of corrugated paper, certified, for export under standard commercial terms, shipping term CIF.",481910,Paper,"Cartons, boxes of corrugated paper",en
"Optical fibres and bundles, quantity: various, for wholesale, for industrial procurement contract, for 20ft container loading.",900190,Instruments,Optical fibres and bundles,en
"Cocoa beans, whole or broken, meeting international standards, for cross-border shipment, shipping term FOB.",180100,Cocoa,"Cocoa beans, whole or broken",en
"Unroasted decaf-free coffee, 1000kg lot, for bonded warehouse delivery, for 20ft container loading.",090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",en
"Other beauty or make-up preparations - standard quality, bulk shipment, for export under standard commercial terms, palletized for container shipment.",330499,Cosmetics,Other beauty or make-up preparations,en
"Khaki cotton pants, men's casual, for export under standard commercial terms, for 20ft container loading.",620342,Garments,Men's trousers of cotton,en
"Compact car, petrol, 1600cc, new",870323,Vehicles,"Motor cars, 1500-3000cc",en
"Trade declaration: milk with fat content 1-6%, new, for cross-border shipment, packed in cartons.",040120,Dairy,Milk with fat content 1-6%,en
"Tobacco, partly or wholly stemmed - standard quality, bulk shipment, for international wholesale distribution, for 20ft container loading.",240120,Tobacco,"Tobacco, partly or wholly stemmed",en
"Cold-rolled iron or steel coil - standard quality, bulk shipment, for cross-border shipment, with standard commercial invoice and packing list.",720917,Steel,Cold-rolled iron or steel coil,en
"Export grade unwrought aluminium alloys, certified, for cross-border shipment, shipping term CIF.",760120,Metals,Unwrought aluminium alloys,en
"Electric SUV, 400km range, BEV",870380,Vehicles,"Other motor vehicles, electric",en
"Bananas, fresh or dried, meeting international standards",080300,Fruits,"Bananas, fresh or dried",en
"Vaccines for human medicine, packed for international trade",300220,Pharmaceuticals,Vaccines for human medicine,en
"Shipment of other needles, catheters, FOB terms, for bonded warehouse delivery, for mixed-lot cargo.",901839,Medical,"Other needles, catheters",en
"Green tea in packages ≤3kg, packed for international trade, for customs clearance and import declaration, for scheduled maritime transport.",090210,Coffee/Tea,Green tea in packages ≤3kg,en
"HR steel coil for pipe manufacturing, for export under standard commercial terms, for scheduled maritime transport.",720839,Steel,"Hot-rolled iron or steel, coil >600mm",en
"Jerseys, pullovers of man-made fibres - standard quality, bulk shipment, for regional retail supply chain, for 20ft container loading.",611030,Garments,"Jerseys, pullovers of man-made fibres",en
"Trade declaration: crude soya-bean oil, new, for industrial procurement contract, shipping term FOB.",150710,Oils,Crude soya-bean oil,en
"Trade declaration: fresh or chilled onions and shallots, new",070310,Vegetables,Fresh or chilled onions and shallots,en
"Petroleum oils, crude - standard quality, bulk shipment, for bulk procurement program, packed in cartons.",270900,Mineral Fuels,"Petroleum oils, crude",en
"Trade declaration: parts for filtering machinery, new",842199,Machinery,Parts for filtering machinery,en
"Demerara sugar, unrefined cane sugar, for bulk procurement program, shipping term FOB.",170199,Sugar,Other cane or beet sugar,en
"Soya beans, other, meeting international standards, for customs clearance and import declaration, palletized for container shipment.",120190,Oil Seeds,"Soya beans, other",en
"Imported cartons, boxes of corrugated paper, customs declaration, for international wholesale distribution, shipping term FOB.",481910,Paper,"Cartons, boxes of corrugated paper",en
"Printed circuits - standard quality, bulk shipment",853400,Electronics,Printed circuits,en
"Shipment of waters with added sugar or flavour, FOB terms, for bulk procurement program, for mixed-lot cargo.",220210,Beverages,Waters with added sugar or flavour,en
"Cotton lint, ginned, in standard bales, for cross-border shipment, for mixed-lot cargo.",520100,Textiles,"Cotton, not carded or combed",en
"Textured polyester yarn, commercial grade, for import, for industrial procurement contract, for scheduled maritime transport.",540233,Textiles,Textured polyester yarn,en
"Trade declaration: mineral or chemical fertilizers with npk, new, for international wholesale distribution, packed in cartons.",310520,Chemicals,Mineral or chemical fertilizers with NPK,en
"Portable notebook PC, lightweight, i7 processor, for bulk procurement program, for scheduled maritime transport.",847130,Electronics,Portable digital computers <10kg,en
"Processing units for digital machines, quantity: various, for wholesale",847150,Electronics,Processing units for digital machines,en
"Ethylene glycol, meeting international standards, for export under standard commercial terms, with standard commercial invoice and packing list.",290531,Chemicals,Ethylene glycol,en
"Ethylene glycol, quantity: various, for wholesale, for cross-border shipment, palletized for container shipment.",290531,Chemicals,Ethylene glycol,en
"Bulbs, tubers for planting, packed for international trade, for regional retail supply chain, packed in cartons.",060110,Plants,"Bulbs, tubers for planting",en
"ยางรถเก๋งใหม่ สำหรับทุกฤดู, for bonded warehouse delivery, shipping term FOB.",401110,Rubber,New pneumatic tyres for cars,th
"Organic raw cane sugar, fair trade, for regional retail supply chain, for scheduled maritime transport.",170199,Sugar,Other cane or beet sugar,en
"New pneumatic tyres for buses/lorries, quantity: various, for wholesale, for export under standard commercial terms, shipping term CIF.",401120,Rubber,New pneumatic tyres for buses/lorries,en
"Imported fresh oranges, customs declaration, for international wholesale distribution, with standard commercial invoice and packing list.",080510,Fruits,Fresh oranges,en
"Women's trousers of cotton, meeting international standards, for international wholesale distribution, shipping term FOB.",620462,Garments,Women's trousers of cotton,en
"Ethylene glycol, quantity: various, for wholesale, for industrial procurement contract, palletized for container shipment.",290531,Chemicals,Ethylene glycol,en
"Cough syrup, retail packaged, 200ml bottle",300490,Pharmaceuticals,"Other medicaments, packaged for retail",en
"Imported tobacco, partly or wholly stemmed, customs declaration, for cross-border shipment, shipping term CIF.",240120,Tobacco,"Tobacco, partly or wholly stemmed",en
"Lead-acid accumulators for vehicles for industrial/commercial use, for customs clearance and import declaration, with standard commercial invoice and packing list.",850710,Electronics,Lead-acid accumulators for vehicles,en
"Imported other cheese, customs declaration, for international wholesale distribution, for scheduled maritime transport.",040690,Dairy,Other cheese,en
"Other parts for motor vehicles, quantity: various, for wholesale, for regional retail supply chain, packed in cartons.",870899,Vehicles,Other parts for motor vehicles,en
"Motorcycles, 50-250cc, packed for international trade, for regional retail supply chain, for mixed-lot cargo.",871120,Vehicles,"Motorcycles, 50-250cc",en
"Men's denim jeans, blue, cotton, for bonded warehouse delivery, for 20ft container loading.",620342,Garments,Men's trousers of cotton,en
"Imported printed circuits, customs declaration",853400,Electronics,Printed circuits,en
"Bananas, fresh or dried, commercial grade, for import, for regional retail supply chain, shipping term CIF.",080300,Fruits,"Bananas, fresh or dried",en
"Trade declaration: parts and accessories for computers, new, for bonded warehouse delivery, for scheduled maritime transport.",847330,Electronics,Parts and accessories for computers,en
"ข้าวเหนียว ขัดสีแล้ว พร้อมส่งออก, for international wholesale distribution, packed in cartons.",100630,Cereals,Semi-milled or wholly milled rice,th
Other structures of iron or steel for industrial/commercial use,730890,Steel,Other structures of iron or steel,en
"Other parts of cranes, packed for international trade, for bonded warehouse delivery, for scheduled maritime transport.",843149,Machinery,Other parts of cranes,en
"Tobacco, partly or wholly stemmed, commercial grade, for import, for international wholesale distribution, shipping term CIF.",240120,Tobacco,"Tobacco, partly or wholly stemmed",en
"Shipment of crude soya-bean oil, FOB terms, for regional retail supply chain, for scheduled maritime transport.",150710,Oils,Crude soya-bean oil,en
"Wheat and meslin, other, quantity: various, for wholesale, for bonded warehouse delivery, shipping term FOB.",100199,Cereals,"Wheat and meslin, other",en
"Clear poly bags for food packaging, for industrial procurement contract, packed in cartons.",392321,Plastics,Sacks and bags of ethylene polymers,en
"Colour LCD TV, 43 inch, HD ready, for export under standard commercial terms, shipping term CIF.",852872,Electronics,Other colour TV receivers,en
"New pneumatic tyres for buses/lorries for industrial/commercial use, for regional retail supply chain, shipping term FOB.",401120,Rubber,New pneumatic tyres for buses/lorries,en
"Shipment of chemical wood pulp, bleached, FOB terms, for cross-border shipment, for mixed-lot cargo.",470321,Paper,"Chemical wood pulp, bleached",en
"Shipment of road tractors for semi-trailers, FOB terms",870120,Vehicles,Road tractors for semi-trailers,en
"Straight run gasoline, refinery output, for bulk procurement program, palletized for container shipment.",271012,Mineral Fuels,Light petroleum oils,en
"Trade declaration: cold-rolled iron or steel coil, new",720917,Steel,Cold-rolled iron or steel coil,en
"Imported other structures of iron or steel, customs declaration",730890,Steel,Other structures of iron or steel,en
"Primary aluminium ingots, 99.7% pure",760110,Metals,"Unwrought aluminium, not alloyed",en
"Polyethylene, specific gravity <0.94, quantity: various, for wholesale, for bulk procurement program, with standard commercial invoice and packing list.",390110,Plastics,"Polyethylene, specific gravity <0.94",en
"Trade declaration: storage units for computers, new, for customs clearance and import declaration, shipping term FOB.",847170,Electronics,Storage units for computers,en
"Raw brown sugar, unrefined, bulk",170199,Sugar,Other cane or beet sugar,en
"Parts and accessories for computers - standard quality, bulk shipment, for bonded warehouse delivery, for mixed-lot cargo.",847330,Electronics,Parts and accessories for computers,en
"Shipment of new pneumatic tyres for buses/lorries, FOB terms, for regional retail supply chain, for mixed-lot cargo.",401120,Rubber,New pneumatic tyres for buses/lorries,en
精米 泰国茉莉香米 5%碎米,100630,Cereals,Semi-milled or wholly milled rice,zh
"Extracts and concentrates of coffee, meeting international standards",210111,Food Preparations,Extracts and concentrates of coffee,en
"Extracts and concentrates of coffee for industrial/commercial use, for export under standard commercial terms, shipping term FOB.",210111,Food Preparations,Extracts and concentrates of coffee,en
"Tôm sú đông lạnh, nguyên con, for bulk procurement program, palletized for container shipment.",030617,Fish,Frozen shrimps and prawns,vi
"Motor cars, >3000cc, meeting international standards, for customs clearance and import declaration, for scheduled maritime transport.",870324,Vehicles,"Motor cars, >3000cc",en
"Fresh Fuji apples from Washington State, for bulk procurement program, palletized for container shipment.",080810,Fruits,Fresh apples,en
"Imported insecticides, customs declaration, for bonded warehouse delivery, shipping term CIF.",380891,Chemicals,Insecticides,en
"Premium jasmine rice, 100% grade A",100630,Cereals,Semi-milled or wholly milled rice,en
"Cane sugar, crystal white, 50kg bags, for industrial procurement contract, for 20ft container loading.",170199,Sugar,Other cane or beet sugar,en
Fresh boneless cow meat for wholesale distribution,020130,Meat,Fresh or chilled boneless bovine meat,en
"Shipment of other filtering or purifying machinery, FOB terms",842139,Machinery,Other filtering or purifying machinery,en
"Crude soya-bean oil, packed for international trade, for export under standard commercial terms, shipping term FOB.",150710,Oils,Crude soya-bean oil,en
"High density PE pellets, injection grade, for customs clearance and import declaration, packed in cartons.",390120,Plastics,"Polyethylene, specific gravity ≥0.94",en
"儿童纯棉针织T恤衫, for customs clearance and import declaration, shipping term FOB.",610910,Garments,"T-shirts and singlets, cotton, knitted",zh
"Shipment of sweet biscuits, FOB terms, for export under standard commercial terms, for mixed-lot cargo.",190531,Food Preparations,Sweet biscuits,en
"Trade declaration: parts for filtering machinery, new, for industrial procurement contract, with standard commercial invoice and packing list.",842199,Machinery,Parts for filtering machinery,en
"Trade declaration: motor cars, >3000cc, new",870324,Vehicles,"Motor cars, >3000cc",en
"Motor cars, >3000cc, meeting international standards, for export under standard commercial terms, for scheduled maritime transport.",870324,Vehicles,"Motor cars, >3000cc",en
"Aeroplanes, unladen weight 2000-15000kg, quantity: various, for wholesale, for cross-border shipment, packed in cartons.",880230,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"Shipment of other wooden furniture, FOB terms, for regional retail supply chain, shipping term FOB.",940360,Furniture,Other wooden furniture,en
"Export grade vegetable saps and extracts, certified, for bonded warehouse delivery, shipping term CIF.",130219,Plants,Vegetable saps and extracts,en
"Mixtures of fruit juices, commercial grade, for import, for cross-border shipment, palletized for container shipment.",200990,Food Preparations,Mixtures of fruit juices,en
"Export grade other parts for motor vehicles, certified, for customs clearance and import declaration, for 20ft container loading.",870899,Vehicles,Other parts for motor vehicles,en
"Beans, fresh or chilled, packed for international trade, for bulk procurement program, shipping term CIF.",070820,Vegetables,"Beans, fresh or chilled",en
"Other medical instruments, meeting international standards, for export under standard commercial terms, with standard commercial invoice and packing list.",901890,Medical,Other medical instruments,en
"Uncoated paper, 40-150 g/m², meeting international standards, for international wholesale distribution, shipping term CIF.",480256,Paper,"Uncoated paper, 40-150 g/m²",en
"Lead-acid accumulators for vehicles, meeting international standards, for bonded warehouse delivery, palletized for container shipment.",850710,Electronics,Lead-acid accumulators for vehicles,en
"IQF boneless beef cuts, frozen at -18°C, for cross-border shipment, shipping term CIF.",020230,Meat,Frozen boneless bovine meat,en
"Imported toilet soap in bars, customs declaration, for international wholesale distribution, for scheduled maritime transport.",340111,Cosmetics,Toilet soap in bars,en
"Thin and light laptop, OLED display, for industrial procurement contract, for scheduled maritime transport.",847130,Electronics,Portable digital computers <10kg,en
"Footwear with uppers of leather - standard quality, bulk shipment, for bonded warehouse delivery, shipping term CIF.",640510,Footwear,Footwear with uppers of leather,en
"Imported uncoated paper, 40-150 g/m², customs declaration, for bulk procurement program, for 20ft container loading.",480256,Paper,"Uncoated paper, 40-150 g/m²",en
"Shipment of road tractors for semi-trailers, FOB terms, for international wholesale distribution, for 20ft container loading.",870120,Vehicles,Road tractors for semi-trailers,en
"Deep frozen deboned beef for processing, for international wholesale distribution, for mixed-lot cargo.",020230,Meat,Frozen boneless bovine meat,en
"Shipment of other frozen fish, FOB terms",030389,Fish,Other frozen fish,en
"Toilet and kitchen linen of cotton, quantity: various, for wholesale, for bulk procurement program, palletized for container shipment.",630260,Textiles,Toilet and kitchen linen of cotton,en
"Trade declaration: other parts for motor vehicles, new, for customs clearance and import declaration, shipping term CIF.",870899,Vehicles,Other parts for motor vehicles,en
"HR steel plate in coils, 6mm thickness, for export under standard commercial terms, shipping term FOB.",720839,Steel,"Hot-rolled iron or steel, coil >600mm",en
"Cherry tomatoes, fresh, in 250g punnets, for industrial procurement contract, for 20ft container loading.",070200,Vegetables,"Tomatoes, fresh or chilled",en
"Other wooden furniture, packed for international trade, for cross-border shipment, for mixed-lot cargo.",940360,Furniture,Other wooden furniture,en
"高密度聚乙烯树脂颗粒 HDPE, for cross-border shipment, for scheduled maritime transport.",390120,Plastics,"Polyethylene, specific gravity ≥0.94",zh
"Whiskies, quantity: various, for wholesale, for bulk procurement program, for scheduled maritime transport.",220830,Beverages,Whiskies,en
"Combined refrigerator-freezers, commercial grade, for import",841810,Machinery,Combined refrigerator-freezers,en
"Other games and articles for games for industrial/commercial use, for international wholesale distribution, for scheduled maritime transport.",950490,Toys,Other games and articles for games,en
